Category,Total_Benchmarks,Tool,Solved,Percentage_Solved,Avg_Time_(s)
d0,243,Phaserr,243,100.00%,1.8343
d0,243,Z3,135,55.56%,1.2061
d0,243,Golem,81,33.33%,2.5076
d50,216,Phaserr,216,100.00%,1.9625
d50,216,Z3,54,25.00%,4.1518
d50,216,Golem,72,33.33%,2.7966
d100,108,Phaserr,108,100.00%,1.9994
d100,108,Z3,30,27.78%,4.2269
d100,108,Golem,36,33.33%,2.8553
d1000+,37,Phaserr,16,43.24%,25.9561
d1000+,37,Z3,0,0.00%,0.0000
d1000+,37,Golem,0,0.00%,0.0000
TOTAL SUMMARY,604,Phaserr,583,96.52%,2.5744
TOTAL SUMMARY,604,Z3,219,36.26%,2.3463
TOTAL SUMMARY,604,Golem,189,31.29%,2.6839
