problem, tool, version, flags, real time(m:ss), user time(s), system time(s), max memory(KB), timeout (s), error, date
p1.smt2, Golem, 0.6.5, "--engine dar", 0:20.58, 21.17, 0.14, 47672, N/A, N/A,2025-04-07
p1.smt2, Z3, 4.14.2, none, 0:56.62, 56.79, 0.62, 536112, N/A, N/A, 2025-04-07
p1.smt2, Eldarica, 2.1, none, ERR, ERR, ERR, ERR, N/A, "(error stack overflow)", 2025-04-07
p2.smt2, Golem, 0.6.5, "--engine dar", 1:18.41, 78.58, 0.23, 174868, N/A, N/A, 2025-04-07
p3.smt2, Z3, 4.14.2, none, T/O, T/O, T/O, 339568, 600, N/A, 2025-04-07
p3.smt2, Golem, 0.6.5, "--engine dar", ERR, ERR, ERR, 4448, N/A, "Unknown symbol abs Real",2025-04-07
p4.smt2, Z3, 4.14.2, none, T/O, T/O, T/O, 0, 600, N/A, 2025-04-07
p4.smt2, Golem, 0.6.5, "--engine dar", 4:06.70, 240.89, 0.41, 50592, 600, N/A, 2025-04-07
p5.smt2, Golem, 0.6.5, "--engine dar", 0:20.86, 20.41,  0.05, 46272, 600, N/A, 2025-04-07
p5.smt2, Golem, 0.6.5, "--engine kind", 0:07.99, 8.18,  0.07, 41128, 600, N/A, 2025-04-07
p5.smt2, Golem, 0.6.5, "--engine pdkind", 0:05.52, 5.66,  0.06, 70148, 600, N/A, 2025-04-07
p1.vmt, IC3IA, 23.05, "-w", T/O, T/O, T/O, 0, 600, N/A, 2025-04-13
p1_1.smt2, HoIce, 1.10, none, T/O, T/O, T/O, 0, 600, N/A, 2025-04-14
